<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160111,000000,1.0935000,1.0935500,1.0868500,1.0884000,10767000
20160112,000000,1.0896000,1.0909000,1.0850000,1.0872500,880000
20160113,000000,1.0829500,1.0842000,1.0803500,1.0830000,15532000
20160114,000000,1.0859000,1.0942500,1.0859000,1.0940000,961000
20160115,000000,1.0880000,1.0921500,1.0880000,1.0895000,849000
20160119,000000,1.0871000,1.0886500,1.0860500,1.0863000,3449000
20160120,000000,1.0955000,1.0962000,1.0913500,1.0918000,4632000
20160121,000000,1.0911500,1.1150000,1.0886500,1.0907000,3697000
20160122,000000,1.0825000,1.0845000,1.0815500,1.0830000,1696000
20160125,000000,1.0814000,1.0833500,1.0813000,1.0823500,6778000
20160126,000000,1.0856500,1.0871500,1.0822500,1.0822500,3403000
20160127,000000,1.0865500,1.0877500,1.0857500,1.0873500,705000
20160128,000000,1.0875000,1.0916000,1.0870500,1.0911000,31790000
20160129,000000,1.0894500,1.0921000,1.0890000,1.0920000,3745000
20160201,000000,1.0854000,1.0867500,1.0847000,1.0867500,9144000
20160202,000000,1.0906500,1.0918000,1.0896000,1.0916500,13982000
20160203,000000,1.0914000,1.0929000,1.0905500,1.0926000,2124000
20160204,000000,1.1078000,1.1183500,1.1070500,1.1170500,10491000
20160205,000000,1.1197000,1.1205500,1.1184000,1.1193500,7024000
20160208,000000,1.1138000,1.1180000,1.1118500,1.1127000,7860000
20160209,000000,1.1199000,1.1221000,1.1168500,1.1220500,4860000
20160210,000000,1.1281000,1.1300000,1.1244000,1.1258000,5108000
20160211,000000,1.1288000,1.1350000,1.1280000,1.1321000,2721000
20160212,000000,1.1317500,1.1328000,1.1269000,1.1277000,5563000
20160216,000000,1.1160000,1.1191000,1.1154000,1.1158000,3718000
20160217,000000,1.1164000,1.1178000,1.1129500,1.1145500,11582000
20160218,000000,1.1148500,1.1148500,1.1111000,1.1113500,20816000
20160219,000000,1.1112500,1.1133000,1.1081000,1.1100000,4823000
